order_id,movie_name,director,production_company,importer,distributor,release_date,movie_type,long_short,nationality,nation_screen_count,nation_revenue,num_movie_audience,seoul_revenue,seoul_audience,genre,movie_rating,movie_classification
2253,내 아내의 거친 플레이,토미죠 타로,,,(주)영진크리에이티브,2022-03-24,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2254,내 아내의 문란한 사생활,토미죠 타로,,,(주)영진크리에이티브,2022-08-11,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2255,내 아내의 언니 4,조태호,(주)영화사가을,,(주)영화사가을,2021-07-31,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2256,내 아내의 언니 4 무삭제,조태호,(주)영화사가을,,(주)영화사가을,2021-12-05,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2257,내 아내의 언니 5,김환,(주)영화사가을,,(주)영화사가을,2022-02-05,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2258,내 아내의 언니 5 무삭제,김환,(주)영화사가을,,(주)영화사가을,2022-06-10,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2259,내 아내의 임신을 부탁해,토미죠 타로,,,(주)영진크리에이티브,2022-10-07,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2260,내 안의 새엄마,나카노 야요이,,,(주)영진크리에이티브,2022-06-18,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2261,내 여자의 작은 구멍,성운아,주식회사 바나나픽쳐스,,주식회사 바나나픽쳐스,2022-11-16,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2262,내 여자친구의 동생 무삭제,한대위,(주)영화사가을,,(주)영화사가을,2021-09-26,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
2263,내 여자친구의 엄마,용피디,(주)코빈커뮤니케이션즈,,(주)코빈커뮤니케이션즈,2023-05-02,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2264,내 여친 속살에 흥분한 친구 놈,,(주)샤이커뮤니케이션즈,,(주)샤이커뮤니케이션즈,2023-10-19,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2265,내 여친은 에로배우,이상수,선셋 시네마,,선셋 시네마,2021-10-25,개봉영화,장편,한국,1,"6,000",1,0,0,코미디,청소년관람불가,일반영화
2266,내 여친은 에로배우 무삭제판,이상수,선셋 시네마,,선셋 시네마,2022-02-22,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2267,내 와이프를 빼앗은 옆집 그놈,,,,(주)코빈커뮤니케이션즈,2022-04-16,개봉영화,장편,일본,1,"5,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2268,내 친구의 아내 2022,지아민,(주)영화사가을,,(주)영화사가을,2022-10-31,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2269,내 친구의 아내 2022 무삭제,지아민,(주)영화사가을,,(주)영화사가을,2023-06-03,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2270,내 침대에 옆집여자가 잔다,디렉터 O,,,(주)영진크리에이티브,2022-09-21,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2271,내 침대에서 촉촉히 준비된 여사친,사쿠라비토,,,(주)영진크리에이티브,2023-03-11,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2272,내 학생의 엄마 5 무삭제,조태호,(주)영화사가을,,(주)영화사가을,2021-07-18,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
2273,내 학생의 엄마 6 무삭제,김환,(주)영화사가을,,(주)영화사가을,2022-12-26,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2274,내물건이 갖고 싶으냐 : 널 보면 회춘,,,,(주)영진크리에이티브,2023-09-27,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
2275,내아내의여제자,이정석,스마일컨텐츠,,스마일컨텐츠,2022-07-26,개봉영화,장편,한국,1,"1,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2276,내아내의여제자_무삭제,이정석,스마일컨텐츠,,스마일컨텐츠,2022-09-07,개봉영화,장편,한국,1,"1,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2277,냄새에 젖어버린 음란녀,,,,(주)코빈커뮤니케이션즈,2023-04-18,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
